categoria,titulo,descripcion,tiempo_preparacion,tiempo_cocina,tiempo_total,porciones,ingredientes,pasos,url
Spaghetti,Grilled Spaghetti,"Grilled spaghetti is cooked directly in a very simple sauce, so that all the extra flavor from toasting dry pasta on a grill stays in the sauce. This is delicious on its own as a side dish, or as a base for other grilled things like eggplant or chicken.",15 mins,25 mins,40 mins,4,"8 ounces spaghetti
3 tablespoons olive oil
3 clove garlic
2 tablespoons tomato paste
3 3/4 cups chicken broth
1 teaspoon salt
2 tablespoons unsalted butter
1/4 cup basil leaves
1/4 cup Parmigiano Reggiano
1 pinch red chili flakes","Paso 1: Prepare an outdoor charcoal grill for medium-high heat.
Paso 2: Place dry spaghetti on the hot charcoal grill, and cook, tossing often with tongs until the pasta is toasted to a light brown, about 4 minutes. Remove and set aside.
Paso 3: Add olive oil to a pan, and set over medium heat. Add garlic and sauté until fragrant, 30 seconds to 1 minute. Add tomato paste and sauté for about 1 minute; pour in broth.
Paso 4: Raise heat to medium-high and bring broth to a simmer. Add salt and grilled spaghetti, and use tongs to move spaghetti back and forth until it softens enough to be covered by the broth.
Paso 5: Cook, stirring, until spaghetti is as tender as you like; it will take a few minutes longer than package directions indicate. If pan gets too dry, add another splash of broth.
Paso 6: Reduce heat to low; stir in butter and basil. Turn off heat and stir in cheese. Serve immediately.",https://www.allrecipes.com/grilled-spaghetti-recipe-8675070
Spaghetti,Fish Puttanesca,"This fish puttanesca, served over spaghetti, comes together quickly. Normally, puttanesca sauce, simple but robust, doesn’t include a protein, but it’s easy to add some cod filets, and the addition barely influences the cooking time. Any mild white fish will be just fine in this dish.",5 mins,25 mins,30 mins,4,"1/2 pound spaghetti
2 tablespoons olive oil
2 tablespoons capers
1 tablespoon anchovy paste, or to taste
4 cloves garlic,
1 teaspoon crushed red pepper
1 (28 ounce) can tomatoes
1/2 cup Kalamata olives
2 tablespoons Italian parsley
salt and pepper to taste
4 (6 ounce) white fish
fresh Italian parsley sprigs","Paso 1: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.
Paso 2: Meanwhile, heat olive oil in a large skillet over medium-low heat until it shimmers.
Paso 3: Add capers, anchovy paste, garlic, and red pepper and cook, stirring frequently, until garlic is soft and fragrant, about 2 minutes.
Paso 4: Drain off about 1/2 cup of the liquid in the tomato can and discard. With clean hands, crush tomatoes, and add to the skillet with the remaining juice. Stir in olives and minced parsley. Season to taste with salt and black pepper.
Paso 5: Bring sauce to a boil, add fish filets, and reduce heat to a simmer. Sauce should bubble occasionally, but not boil, once fish have been added.
Paso 6: Cook until fish flakes easily with a fork, 8 to 10 minutes, spooning sauce over fish occasionally. Thin filets may cook more quickly. An instant read thermometer inserted in the fish should read 145 degrees F (63 degrees C).
Paso 7: Evenly divide spaghetti into 4 serving dishes. Place 1 filet in each dish and ladle sauce over all. Garnish with parsley sprigs.",https://www.allrecipes.com/fish-puttanesca-recipe-8611251
Spaghetti,Pesto Spaghetti Frittata,"This pesto spaghetti frittata is a terrific way to use leftover spaghetti. Easily made with frozen mixed vegetables and prepared pesto, it is perfect for breakfast, brunch or a light supper.",10 mins,35 mins,45 mins,6,"6  duck eggs
1/2 cup shredded Parmesan cheese
1/4 cup half-and-half cream
1/4 cup ricotta cheese
2 tablespoons pesto, plus more for garnish
1 teaspoon thyme leaves
1/2 teaspoon salt
1/4 teaspoon pepper
1 pound frozen mixed carrots, broccoli, zucchini, and cauliflowe
1 tablespoon unsalted butter
2 cloves garlic, minced
4 ounces cooked spaghett","Paso 1: Preheat the oven to 400 degrees F (200 degrees C).
Paso 2: Whisk eggs, Parmesan cheese, half and half, ricotta, pesto, thyme, salt, and pepper together in a large bowl.
Paso 3: Place vegetables in a microwave-safe bowl; cook on High in the microwave until thawed, 4 to 5 minutes. Drain well.
Paso 4: Melt butter in an ovenproof nonstick skillet. Add garlic and saute until fragrant, about 1 minute. Add steamed vegetables, and toss to coat.
Paso 5: Pour half of egg mixture into the skillet. Toss cooked spaghetti with remaining egg mixture. Pour egg-coated pasta into the skillet. Cook 5 minutes.
Paso 6: Bake in the skillet in the preheated oven until eggs are firm, about 25 minutes. Remove, cut into wedges, and serve with more pesto if desired.",https://www.allrecipes.com/pesto-spaghetti-frittata-recipe-8553405
Spaghetti,Yakamein (New Orleans-Style Noodle Soup),"This is my take on yakamein (New Orleans-style noodle soup) that's famous only locally, but is one soup you'll want to know about. Known in New Orleans as a very effective hangover cure—its nickname is Old Sober—it is also a beautifully comforting and delicious thing to eat.",20 mins,1 hr 20 mins,2 hrs,4,"1 1/2 pounds beef chuck roast, cut into 1-inch pieces
1 1/2 teaspoons kosher salt
1 teaspoon ground black pepper
1/2 teaspoon cayenne pepper, or to taste
1/2 teaspoon paprika
2 tablespoons avocado oil or vegetable oil
1 cup yellow onion
1/2 cup celery
1/2 cup green pepper
4 cloves garlic, minced
2 tablespoons soy sauce
1 1/2 teaspoons orcestershire sauce
1 1/2 teaspoons granulated garlic
8 cups water
2 tablespoons beef bouillon paste
12 ounces dry spaghetti
4 large hard boiled eggs, peeled and halved
1 cup green onions",,https://www.allrecipes.com/yakamein-new-orleans-style-noodle-soup-recipe-8422264
Spaghetti,Shrimp Marinara,Shrimp marinara hits all the right spots - tasty shrimp with homemade tomato sauce served over spaghetti. A quick and easy weeknight meal.,10 mins,15 mins,25 mins,4,"12 ounces dry spaghetti
3 tablespoons extra virgin olive oil
1 pound shrimp, peeled and deveined
4 cloves garlic, sliced
1/2 teaspoon crushed red pepper
1 (15- ounce) diced fire-roasted tomatoes
1 (15 ounce) can tomato sauce
1/4 cup chopped fresh basil, plus more for garnish
1 tablespoon balsamic vinegar
1 teaspoon dried oregano
1/4 teaspoon kosher salt",,https://www.allrecipes.com/shrimp-marinara-recipe-7972426
Spaghetti,Chicken Carbonara Pasta Bake,"This chicken carbonara pasta bake is the perfect Sunday dinner choice for the whole family. Serve with a side of roasted vegetables, a salad, and some crusty bread to soak up extra sauce.",5 mins,35 mins,40 mins,6,"10 ounces diced pancetta
16 ounces spaghetti
4 large egg yolks
2 cups grated parmesan cheese
1 cup heavy cream
2 cups cooked chicken breast
1 tablespoon italian parsley",,https://www.allrecipes.com/chicken-carbonara-pasta-bake-recipe-7969899
Spaghetti,Spaghetti all'Assassina (Assassin's Spaghetti),Caramelized tomato sauce makes this a wonderfully savory dish. The reduction of the tomato broth brings out the sweetness of the tomatoes which balances well with the spiciness of the chili flakes.,5 mins,25 mins,30 mins,4,"1 tablespoon olive oil
2 cloves garlic, minced
3 cups tomato puree
3 cups water
1 teaspoon salt, or to taste
¼ cup olive oil
2 teaspoons red chili flakes, or to taste
6 ounces dry spaghetti
salt to taste
1 tablespoon finely chopped parsley, for garnish",,https://www.allrecipes.com/recipe/8534000/spaghetti-allassassina-assassins-spaghetti/
Spaghetti,Spaghetti Aglio e Olio,"No two aglio e olio recipes are alike, but this one is pretty true to the classic method. The key is slowly toasting the garlic slices to a perfect golden brown in the olive oil. If it's too light, you don't get the full flavor and if it's too dark it gets bitter. My advice? Do it perfectly.",10 mins,15 mins,25 mins,4,"1 pound uncooked spaghetti
½ cup olive oil
6 cloves garlic, thinly sliced
¼ teaspoon red pepper flakes, or to taste
salt and freshly ground black pepper to taste
¼ cup chopped fresh Italian parsley
1 cup finely grated Parmigiano-Reggiano cheese","Paso 1: Gather all ingredients.
Paso 2: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 10 to 12 minutes. Drain and transfer to a pasta bowl.
Paso 3: While the pasta is cooking, combine olive oil and garlic in a cold skillet.
Paso 4: Cook over medium heat to slowly toast garlic, about 10 minutes. Reduce heat to medium-low when olive oil begins to bubble. Cook and stir until garlic is golden brown, about another 5 minutes. Remove from heat.
Paso 5: Stir red pepper flakes, salt, and black pepper into pasta.
Paso 6: Pour in hot olive oil and garlic, and sprinkle on Italian parsley and half of the Parmigiano-Reggiano cheese; toss until combined.
Paso 7: Serve pasta topped with the remaining Parmigiano-Reggiano cheese.",https://www.allrecipes.com/recipe/222000/spaghetti-aglio-e-olio/
Spaghetti,Instant Pot Pasta and Meat Sauce,"Using your Instant Pot for pasta and meat sauce allows for cooking everything all at once. It takes under an hour, and you have one pot to clean when you're done.",15 mins,25 mins,50 mins,6,"½  yellow onion, chopped
1 tablespoon olive oil
1 pound lean ground beef
1 tablespoon talian seasoning
1 teaspoon red pepper flakes, or to taste
1 tablespoon minced garlic
1 ½ teaspoons sea salt
1 teaspoon garlic powder
½ teaspoon ground black pepper
3 ¼ cups water, divided
1 (16 ounce) packet of spaghetti, broken in half
1 (24 ounce) jar marinara sauce
1 (14 ounce) can diced tomatoes","Paso 1: Turn on a multi-functional pressure cooker (such as Instant Pot) and select the sauté function. Add onion and olive oil. Cook and stir until onion is slightly soft, about 5 minutes. Add beef, Italian seasoning, pepper flakes, garlic, salt, garlic powder, and black pepper. Cook and stir until beef is browned and crumbly, 5 to 7 minutes. Hit Cancel. Pour 1/4 cup water into the pan and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon.
Paso 2: Layer spaghetti strands on top of meat in a crisscross pattern. Pour marinara sauce over pasta. Pour diced tomatoes over sauce. Pour remaining 3 cups water around sides and on top of tomatoes. Push down lightly with a spatula to make sure water gets through layers and all pasta is covered.
Paso 3: Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 5 minutes. Allow 10 to 15 minutes for pressure to build.
Paso 4: Release pressure using the natural-release method according to manufacturer's instructions for 5 minutes. Release remaining pressure carefully using the quick-release method, about 5 minutes. Unlock and remove the lid. Stir spaghetti and meat sauce together well before serving.",https://www.allrecipes.com/instant-pot-pasta-and-meat-sauce-recipe-7498554
Spaghetti,Chicken Scampi,"Move over shrimp scampi, there’s a new player in town! This chicken scampi is a quick meal, ready in less than 30 minutes.",10 mins,20 mins,30 mins,5 servings,"4 tablespoons butter
4 tablespoons olive oil
8 cloves garlic, minced
1 cup inot Grigio)
1 lemon, juiced
1/2 cup armesan cheese
1 teaspoon crushed red pepper flakes
1 pound spaghetti
1 1/2 pounds chicken breast tenderloins
2 teaspoons Italian seasoning
1 pinch salt
1 tablespoon parsley, or as needed for garnish (optional)","Paso 1: Melt butter with olive oil in a skillet over medium heat. Stir in garlic and cook until fragrant, about 30 seconds. Pour in wine, reduce heat, and simmer until volume is reduced by half. Stir in lemon juice, Parmesan cheese, and crushed red pepper flakes.
Paso 2: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes.
Paso 3: Meanwhile, remove any tendons from chicken tenderloins. Season chicken with salt and Italian seasoning. Add chicken to sauce, cover skillet, and cook for 5 minutes. Remove the lid, turn chicken over, and cook until chicken is no longer pink in the center and the juices run clear, about 5 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Paso 4: Drain pasta, reserving 1/2 cup pasta water. Add pasta to sauce; toss to coat. If sauce is too thick for your taste, add reserved pasta water, 1 tablespoon at a time, to the sauce. Sprinkle with parsley to garnish. Serve immediately.",https://www.allrecipes.com/chicken-scampi-recipe-7482696
Spaghetti,Caprese Pasta with Thai Basil,This caprese pasta is the perfect cool and refreshing summer dish. The lemon-infused white balsamic vinegar adds a really nice twist to this classic dish.,15 mins,15 mins,30 mins,4,"1 pound spaghetti
1 ½ cups cherry tomatoes, halved
½ cup olive oil
3 tablespoons lemon-infused white balsamic vinegar
2 cloves garlic, chopped
⅓ cup chopped Thai basil
1 (8 ounce) container small mozzarella balls in oil, halved
salt and freshly ground black pepper to taste","Paso 1: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.
Paso 2: Combine cherry tomatoes, mozzarella balls, olive oil, balsamic vinegar, garlic, and Thai basil in a large mixing bowl; mix well. Season with salt and pepper to taste.
Paso 3: Drain pasta and top with cherry tomato mixture.",https://www.allrecipes.com/recipe/8453629/caprese-pasta-with-thai-basil/
Spaghetti,Baked Spaghetti,"Comforting baked spaghetti with plenty of melted cheese — the perfect dish for potlucks, family gatherings, or a weeknight dinner.",15 mins,1 hr 15 mins,1 hr 30 mins,8,"1 (16 ounce) package spaghetti
1 pound ground beef
1  onion, chopped
1 (32 ounce) jar meatless spaghetti sauce
½ teaspoon seasoned salt
2 large eggs
⅓ cup grated Parmesan cheese
5 tablespoons butter, melted
2 cups small curd cottage cheese
5 cups shredded mozzarella cheese, divided",,https://www.allrecipes.com/recipe/222582/baked-spaghetti/
Spaghetti,That Zucchini Spaghetti Stanley Tucci Loves (Spaghetti alla Nerano),"After listening to Stanley Tucci lose his mind about this pasta and calling it life-changing and one of the best things he's ever eaten, I decided I'd give it a try. The results were amazing and the key to getting the toasted sweet taste of the zucchini was deep-frying it!",20 mins,35 mins,8 hrs 55 mins,2,"1 quart sunflower oil, or as needed
6 medium green zucchini
4 ounces spaghetti
2 tablespoons olive oil
1 pinch salt
2 basil leaves, torn into small pieces
2 tablespoons unsalted butter
5 tablespoons grated Pecorino Romano cheese
3 tablespoons grated Parmigiano-Reggiano cheese",,https://www.allrecipes.com/recipe/285205/that-zucchini-spaghetti-stanley-tucci-loves-spaghetti-alla-nerano/
Spaghetti,Creamy Garlic Pasta,"As far as creamy pasta recipes, this is the best I have ever had. Add prawns and/or scallops to make an amazing seafood Alfredo.",10 mins,20 mins,30 mins,4,"2 teaspoons olive oil
4  garlic cloves, minced
2 tablespoons butter
3 cups chicken broth, or more as needed
½ teaspoon ground black pepper
¼ teaspoon salt
½ pound spaghetti
1 cup grated Parmesan cheese
¾ cup heavy cream
1 ½ tablespoons dried parsley","Paso 1: Gather all ingredients.
Paso 2: Heat olive oil in a medium pan over medium heat. Add garlic and stir until fragrant, 1 to 2 minutes. Add butter and stir constantly until melted.
Paso 3: Pour in 3 cups chicken broth; add pepper and salt. Bring to a boil. Add spaghetti and cook, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Add more chicken broth if pasta starts to stick to the pan.
Paso 4: Add Parmesan cheese, cream, and parsley and mix until thoroughly combined. Serve immediately.",https://www.allrecipes.com/recipe/269500/creamy-garlic-pasta/
Spaghetti,Million Dollar Spaghetti,"Million dollar spaghetti is the perfect combination of noodles, lean ground beef sauce, cottage cheese, cream cheese, and sour cream. It's unbelievably good!",10 mins,50 mins,1 hr,8,"1 (8 ounce) package spaghetti
1 pound lean ground beef
1 (16 ounce) jar spaghetti sauce
½ cup butter, sliced - divided
1 (8 ounce) container cottage cheese
1 (8 ounce) package cream cheese, softened
¼ cup sour cream
1 (8 ounce) package shredded sharp Cheddar cheese",,https://www.allrecipes.com/recipe/232227/million-dollar-spaghetti/
Spaghetti,Quick and Easy Chicken Spaghetti,"This chicken spaghetti recipe is quick and easy to make, yet is hearty and delicious. It's a great way to use leftover chicken!",10 mins,15 mins,25 mins,6,"1 (12 ounce) package angel hair pasta
2 cups chopped cooked chicken breast
1 (10.75 ounce) can condensed cream of chicken soup
1 (10 ounce) can diced tomatoes with green chile peppers
¾ (8 ounce) package processed cheese, cubed
½ (4 ounce) jar sliced mushrooms, drained
salt and pepper to taste","Paso 1: Bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain pasta and return it to the pot.
Paso 2: Add chopped chicken, condensed soup, diced tomatoes with chile peppers, processed cheese, mushrooms, salt, and pepper.
Paso 3: Cook and stir over low heat until cheese is melted and mixture is heated through, about 5 minutes.",https://www.allrecipes.com/recipe/26286/quick-and-easy-chicken-spaghetti/
